costat,curcd,datafmt,indfmt,consol,cik,datadate,gvkey,conm,tic,cusip,exchg,fyr,fic,busdesc,city,conml,county,fyrc,ggroup,gind,gsector,gsubind,naics,sic,spcindcd,spcseccd,spcsrc,stko
A,USD,STD,INDL,C,,2022-12-31,175988,INVESCO S&P 500 EQUAL WEIGHT,RSPT,46137V282,17.0,12,USA,Invesco Exchange-Traded Fund Trust - Invesco S&P 500 Equal Weight Technology ETF is an exchange traded fund launched and managed by Invesco Capital Management LLC. The fund invests in public equity markets of the United States.,Downers Grove,Invesco S&P 500 Equal Weight Technology Etf,,12,,,,,,6722,,,,
A,USD,STD,INDL,C,19871.0,2023-12-31,2999,CHICAGO RIVET & MACHINE CO,CVR,168088102,12.0,12,USA,Chicago Rivet & Machine Co. operates in the fastener industry in North America. It operates through Fasteners and Assembly Equipment.,Naperville,Chicago Rivet & Machine Co.,,12,2010.0,201060.0,20.0,20106020.0,332722.0,3452,355.0,925.0,B-,0.0
A,USD,STD,INDL,C,1381074.0,2007-12-31,176304,BAIJIAYUN GROUP LTD,RTCJF,G0704V111,19.0,12,CYM,Baijiayun Group Ltd engages in the video-centric technology solution business primarily in China.,Nanjing,Baijiayun Group Ltd,,12,4510.0,451030.0,45.0,45103010.0,518210.0,7370,,,C,3.0
A,USD,STD,INDL,C,,2004-03-31,136604,ISHARES CORE S&P 500 ETF,IVV,464287200,17.0,3,USA,"iShares Trust - iShares Core S&P 500 ETF is an exchange traded fund launched by BlackRock, Inc. It is managed by BlackRock Fund Advisors. It invests in public equity markets of the United States. The fund invests in stocks of companies operating across diversified sectors.",San Francisco,iShares Core S&P 500 ETF,,3,,,,,525990.0,6722,850.0,800.0,,
A,USD,STD,INDL,C,98677.0,2006-12-31,10609,TOOTSIE ROLL INDUSTRIES INC,TR,890516107,11.0,12,USA,"Tootsie Roll Industries, Inc., together with its subsidiaries, manufactures and sells confectionery products in the United States, Canada, Mexico, and internationally.",Chicago,Tootsie Roll Industries Inc.,,12,3020.0,302020.0,30.0,30202030.0,311340.0,2060,250.0,978.0,B+,0.0
A,USD,STD,INDL,C,1597033.0,2013-12-31,19649,SABRE CORP,SABR,78573M104,14.0,12,USA,"Sabre Corporation, together with its subsidiaries, operates as a software and technology company for travel industry in the United States, Europe, Asia-Pacific, and internationally. It operates in two segments, Travel Solutions and Hospitality Solutions.",Southlake,Sabre Corp,,12,2530.0,253010.0,25.0,25301020.0,518210.0,7370,,,C,0.0
A,USD,STD,INDL,C,1497645.0,2011-12-31,185396,SUMMIT HOTEL PROPERTIES INC,INN,866082100,11.0,12,USA,"Summit Hotel Properties, Inc. is a publicly traded real estate investment trust focused on owning premium-branded lodging facilities with efficient operating models primarily in the upscale segment of the lodging industry.",Austin,Summit Hotel Properties Inc,,12,6010.0,601030.0,60.0,60103010.0,531120.0,6798,,,B-,0.0
A,USD,STD,INDL,C,1632127.0,2020-12-31,23225,CABLE ONE INC,CABO,12685J105,11.0,12,USA,"Cable One, Inc., together with its subsidiaries, provides data, video, and voice services in the United States. The company offers residential data services, a service to enhance Wi-Fi signal throughout the home.",Phoenix,Cable One Inc,,12,5020.0,502010.0,50.0,50201030.0,516210.0,4841,,,B,0.0
A,USD,STD,INDL,C,1876588.0,2020-12-31,40758,ZIMVIE INC,ZIMV,98888T107,14.0,12,USA,"ZimVie Inc., together with its subsidiaries, develops, manufactures, and markets a portfolio of products and solutions designed to support dental tooth replacement and restoration procedures worldwide.",Palm Beach Gardens,ZimVie Inc,,12,3510.0,351010.0,35.0,35101010.0,339114.0,3843,,,,0.0
A,USD,STD,FS,C,102212.0,2016-12-31,19817,UNIVEST FINANCIAL CORP,UVSP,915271100,14.0,12,USA,"Univest Financial Corporation operates as the bank holding company for Univest Bank and Trust Co. that provides banking services in the United States. It operates through three segments: Banking, Wealth Management, and Insurance.",Souderton,Univest Financial Corp,,12,4010.0,401010.0,40.0,40101015.0,522110.0,6020,817.0,800.0,B+,0.0
A,USD,STD,INDL,C,1800392.0,2023-12-31,37846,MICROALGO INC,MLGO,G6077Y400,14.0,12,CYM,"MicroAlgo Inc., together with its subsidiaries, develops and applies central processing algorithm solutions to customers in internet advertisement, gaming, and intelligent chip industries in the People's Republic of China, Hong Kong, and internationally.",Shenzhen,MicroAlgo Inc,,12,4510.0,451020.0,45.0,45102010.0,541511.0,7371,,,,0.0
A,USD,STD,INDL,C,,2023-12-31,34210,PGIM ACTIVE HGH YD BD ETF,PHYL,69344A206,17.0,12,USA,PGIM ETF Trust - PGIM Active High Yield Bond ETF is an exchange traded fund launched and managed by PGIM Investments LLC. The fund is co-managed by PGIM Fixed Income. It invests in fixed income markets of the United States.,Newark,PGIM ETF Trust - PGIM Active High Yield Bond ETF,,12,,,,,525910.0,6722,,,,
A,USD,STD,INDL,C,1365135.0,2016-12-31,175263,WESTERN UNION CO,WU,959802109,11.0,12,USA,The Western Union Company provides money movement and payment services worldwide. It operates through Consumer Money Transfer and Consumer Services segments.,Denver,Western Union Co,,12,4020.0,402010.0,40.0,40201060.0,522320.0,6099,,,B+,0.0
A,USD,STD,INDL,C,106040.0,2015-06-30,11399,WESTERN DIGITAL CORP,WDC,958102105,14.0,6,USA,"Western Digital Corporation develops, manufactures, and sells data storage devices and solutions based on hard disk drive (HDD) technology in the United States, Asia, Europe, the Middle East, and Africa.",San Jose,Western Digital Corp,,6,4520.0,452020.0,45.0,45202030.0,334112.0,3572,188.0,940.0,C,0.0
A,USD,STD,INDL,C,34088.0,2016-12-31,4503,EXXON MOBIL CORP,XOM,30231G102,11.0,12,USA,"Exxon Mobil Corporation engages in the exploration and production of crude oil and natural gas in the United States, Canada, the United Kingdom, Singapore, France, and internationally. It operates through Upstream, Energy Products, Chemical Products, and Specialty Products segments.",Spring,Exxon Mobil Corp,,12,1010.0,101020.0,10.0,10102010.0,324110.0,2911,390.0,935.0,B,0.0
A,USD,STD,INDL,C,,2022-12-31,41515,ISHARES 20 YEA T B B W S ETF,TLTW,46436E338,21.0,12,USA,"iShares Trust - iShares 20+ Year Treasury Bond BuyWrite Strategy ETF is an exchange traded fund launched by BlackRock, Inc. It is managed by BlackRock Fund Advisors. The fund invests in fixed income markets of the United States. The fund invests through derivatives in U.S.",San Francisco,iShares 20 Year Treasury Bond BuyWrite Strategy ETF,,12,,,,,525910.0,6722,,,,
A,USD,STD,INDL,C,,2016-12-31,17777,ISHARES MSCI USA MOMENTUM FA,MTUM,46432F396,21.0,12,USA,"iShares Trust - iShares MSCI USA Momentum Factor ETF is an exchange traded fund launched by BlackRock, Inc. It is managed by BlackRock Fund Advisors. The fund invests in public equity markets of the United States. The fund invests in stocks of companies operating across diversified sectors.",San Francisco,iShares MSCI USA Momentum Factor ETF,,12,,,,,525910.0,6722,,,,
A,USD,STD,INDL,C,1023313.0,2003-12-31,64061,FORRESTER RESEARCH INC,FORR,346563109,14.0,12,USA,"Forrester Research, Inc. operates as an independent research and advisory company in the United States, Europe, the United Kingdom, Canada, Asia Pacific, and internationally. It operates in three segments: Research, Consulting, and Events.",Cambridge,Forrester Research Inc,,12,2020.0,202020.0,20.0,20202020.0,541910.0,8700,456.0,976.0,C,0.0
A,USD,STD,INDL,C,1160846.0,2011-12-31,203944,OI SA,OIBRQ,670851708,19.0,12,BRA,"Oi S.A., together with its subsidiaries, provides telecommunication services in Brazil and internationally.",Rio de Janeiro,Oi SA,,12,5010.0,501010.0,50.0,50101020.0,517111.0,4813,463.0,974.0,,3.0
A,USD,STD,INDL,C,919567.0,2006-12-31,62731,RENN FUND INC,RCG,759720105,12.0,12,USA,"RENN Fund, Inc. is a closed ended equity mutual fund launched by RENN Capital Group, Inc. The fund is co-managed by Horizon Kinetics Asset Management LLC. It invests in the public equity markets of the United States.",New York,RENN Fund Inc,,12,4020.0,402030.0,40.0,40203010.0,525990.0,6726,850.0,800.0,,
A,USD,STD,INDL,C,,2006-12-31,175577,ISHARES GLOBAL CONS DISC ETF,RXI,464288745,17.0,12,USA,"iShares Trust - iShares Global Consumer Discretionary ETF is an exchange traded fund launched by BlackRock, Inc. The fund is managed by BlackRock Fund Advisors. The fund invests in public equity markets of global region.",San Francisco,iShares Trust - iShares Global Consumer Discretionary ETF,,12,,,,,327993.0,6722,,,,
A,USD,STD,INDL,C,1280784.0,2016-12-31,160541,HERCULES CAPITAL INC,HTGC,427096508,11.0,12,USA,"Hercules Capital, Inc. is a business development company.",San Mateo,Hercules Capital Inc,,12,4020.0,402030.0,40.0,40203010.0,523910.0,6797,,,,0.0
A,USD,STD,INDL,C,,2021-12-31,177663,INVESCO GLOBAL WATER ETF,PIO,46138E651,14.0,12,USA,Invesco Exchange-Traded Fund Trust II - Invesco Global Water ETF is an exchange traded fund launched and managed by Invesco Capital Management LLC. The fund invests in public equity markets of global region.,Downers Grove,Invesco Global Water ETF,,12,,,,,,6722,,,,
A,USD,STD,INDL,C,1138476.0,2021-12-31,66274,PACIFIC HEALTH CARE ORG INC,PFHO,69439P407,19.0,12,USA,"Pacific Health Care Organization, Inc., together with its subsidiaries, operates as a workers' compensation cost containment company in the United States. It is involved in managing and administering health care organizations (HCOs) and medical provider networks (MPNs).",Irvine,Pacific Health Care Organization Inc.,,12,3510.0,351020.0,35.0,35102030.0,621999.0,8090,,,B-,3.0
A,USD,STD,INDL,C,15486.0,2003-12-31,2482,FORTRAN CORP,FRTN,34960D108,19.0,12,USA,"Fortran Corporation, through its subsidiaries, offers communication system integration services to media and communication sectors. The company provides communication solutions designing, sourcing, implementing, and maintenance services.",Hickory,Fortran Corp,,12,4520.0,452010.0,45.0,45201020.0,334210.0,3661,468.0,976.0,C,3.0
