gsector;ggroup;gind;gsubind
10;1010;101010;10101010
10;1010;101010;10101020
10;1010;101020;10102010
10;1010;101020;10102020
10;1010;101020;10102030
10;1010;101020;10102040
10;1010;101020;10102050
15;1510;151010;15101010
15;1510;151010;15101020
15;1510;151010;15101030
15;1510;151010;15101040
15;1510;151010;15101050
15;1510;151020;15102010
15;1510;151030;15103010
15;1510;151030;15103020
15;1510;151040;15104010
15;1510;151040;15104020
15;1510;151040;15104025
15;1510;151040;15104030
15;1510;151040;15104040
15;1510;151040;15104045
15;1510;151040;15104050
15;1510;151050;15105010
15;1510;151050;15105020
20;2010;201010;20101010
20;2010;201020;20102010
20;2010;201030;20103010
20;2010;201040;20104010
20;2010;201040;20104020
20;2010;201050;20105010
20;2010;201060;20106010
20;2010;201060;20106015
20;2010;201060;20106020
20;2010;201070;20107010
20;2020;202010;20201010
20;2020;202010;20201050
20;2020;202010;20201060
20;2020;202010;20201070
20;2020;202010;20201080
20;2020;202020;20202010
20;2020;202020;20202020
20;2020;202020;20202030
20;2030;203010;20301010
20;2030;203020;20302010
20;2030;203030;20303010
20;2030;203040;20304010
20;2030;203040;20304020
20;2030;203040;20304030
20;2030;203040;20304040
20;2030;203050;20305010
20;2030;203050;20305020
20;2030;203050;20305030
25;2510;251010;25101010
25;2510;251010;25101020
25;2510;251020;25102010
25;2510;251020;25102020
25;2520;252010;25201010
25;2520;252010;25201020
25;2520;252010;25201030
25;2520;252010;25201040
25;2520;252010;25201050
25;2520;252020;25202010
25;2520;252030;25203010
25;2520;252030;25203020
25;2520;252030;25203030
25;2530;253010;25301010
25;2530;253010;25301020
25;2530;253010;25301030
25;2530;253010;25301040
25;2530;253020;25302010
25;2530;253020;25302020
25;2550;255010;25501010
25;2550;255020;25502020
25;2550;255030;25503010
25;2550;255030;25503020
25;2550;255030;25503030
25;2550;255040;25504010
25;2550;255040;25504020
25;2550;255040;25504030
25;2550;255040;25504040
25;2550;255040;25504050
25;2550;255040;25504060
30;3010;301010;30101010
30;3010;301010;30101020
30;3010;301010;30101030
30;3010;301010;30101040
30;3020;302010;30201010
30;3020;302010;30201020
30;3020;302010;30201030
30;3020;302020;30202010
30;3020;302020;30202030
30;3020;302030;30203010
30;3030;303010;30301010
30;3030;303020;30302010
35;3510;351010;35101010
35;3510;351010;35101020
35;3510;351020;35102010
35;3510;351020;35102015
35;3510;351020;35102020
35;3510;351020;35102030
35;3510;351030;35103010
35;3520;352010;35201010
35;3520;352020;35202010
35;3520;352030;35203010
40;4010;401010;40101010
40;4010;401010;40101015
40;4010;401020;40102010
40;4020;402010;40201020
40;4020;402010;40201030
40;4020;402010;40201040
40;4020;402010;40201050
40;4020;402010;40201060
40;4020;402020;40202010
40;4020;402030;40203010
40;4020;402030;40203020
40;4020;402030;40203030
40;4020;402030;40203040
40;4020;402040;40204010
40;4030;403010;40301010
40;4030;403010;40301020
40;4030;403010;40301030
40;4030;403010;40301040
40;4030;403010;40301050
45;4510;451020;45102010
45;4510;451020;45102020
45;4510;451020;45102030
45;4510;451030;45103010
45;4510;451030;45103020
45;4520;452010;45201020
45;4520;452020;45202030
45;4520;452030;45203010
45;4520;452030;45203015
45;4520;452030;45203020
45;4520;452030;45203030
45;4530;453010;45301010
45;4530;453010;45301020
50;5010;501010;50101010
50;5010;501010;50101020
50;5010;501020;50102010
50;5020;502010;50201010
50;5020;502010;50201020
50;5020;502010;50201030
50;5020;502010;50201040
50;5020;502020;50202010
50;5020;502020;50202020
50;5020;502030;50203010
55;5510;551010;55101010
55;5510;551020;55102010
55;5510;551030;55103010
55;5510;551040;55104010
55;5510;551050;55105010
55;5510;551050;55105020
60;6010;601010;60101010
60;6010;601025;60102510
60;6010;601030;60103010
60;6010;601040;60104010
60;6010;601050;60105010
60;6010;601050;60101060
60;6010;601060;60106010
60;6010;601060;60106020
60;6010;601070;60107010
60;6010;601080;60108010
60;6010;601080;60108020
60;6010;601080;60108030
60;6010;601080;60108040
60;6010;601080;60108050
60;6020;602010;60201010
60;6020;602010;60201020
60;6020;602010;60201030
60;6020;602010;60201040
60;6020;602010;60201040
